dataset,model_family,seed,run_prefix,comparison,endpoint,score_a,score_b,n_patches,n_sources,positives,score_a_recall_10pct,score_b_recall_10pct,recall_diff,ci95_low,ci95_high,bootstrap_p_two_sided,ci_excludes_zero
monuseg,point,42,monuseg_point_seed42,primary_vs_global_entropy,low_boundary_dice_le_q25,logistic_l2::sfrm_features,predefined::global_max_entropy,168,14,42,0.40476190476190477,0.023809523809523808,0.38095238095238093,0.0,0.8235294117647058,0.07488986784140969,False
monuseg,point,42,monuseg_point_seed42,strong_global_predictor,low_boundary_dice_le_q25,logistic_l2::sfrm_features,logistic_l2::global_features,168,14,42,0.40476190476190477,0.40476190476190477,0.0,0.0,0.0625,1.0,False
monuseg,point,42,monuseg_point_seed42,supporting_lecr,high_lecr_boundary_ge_q0.75,lasso_logistic_l1::sfrm_features,predefined::global_mean_entropy,168,14,42,0.30952380952380953,0.0,0.30952380952380953,0.17391304347826086,0.4595114345114338,0.0,True
monuseg,point,7,monuseg_point_seed7,primary_vs_global_entropy,low_boundary_dice_le_q25,logistic_l2::sfrm_features,predefined::global_max_entropy,168,14,42,0.35714285714285715,0.0,0.35714285714285715,0.011607142857142972,0.6428571428571429,0.05,True
monuseg,point,7,monuseg_point_seed7,strong_global_predictor,low_boundary_dice_le_q25,logistic_l2::sfrm_features,logistic_l2::global_features,168,14,42,0.35714285714285715,0.38095238095238093,-0.02380952380952378,-0.142989417989418,0.19047619047619047,0.9976,False
monuseg,point,7,monuseg_point_seed7,supporting_lecr,high_lecr_boundary_ge_q0.75,lasso_logistic_l1::sfrm_features,predefined::global_mean_entropy,168,14,42,0.14285714285714285,0.047619047619047616,0.09523809523809523,-0.09090909090909091,0.22227011494252802,0.386,False
monuseg,point,123,monuseg_point_seed123,primary_vs_global_entropy,low_boundary_dice_le_q25,logistic_l2::sfrm_features,predefined::global_max_entropy,168,14,42,0.2857142857142857,0.0,0.2857142857142857,-0.013333333333333336,0.5909090909090909,0.09885931558935361,False
monuseg,point,123,monuseg_point_seed123,strong_global_predictor,low_boundary_dice_le_q25,logistic_l2::sfrm_features,logistic_l2::global_features,168,14,42,0.2857142857142857,0.16666666666666666,0.11904761904761904,-0.019647058823529448,0.3945454545454512,0.20172103261957175,False
monuseg,point,123,monuseg_point_seed123,supporting_lecr,high_lecr_boundary_ge_q0.75,lasso_logistic_l1::sfrm_features,predefined::global_mean_entropy,168,14,42,0.16666666666666666,0.09523809523809523,0.07142857142857142,-0.17309782608695648,0.2647058823529412,0.556,False
monuseg,prototype,42,monuseg_proto_seed42,primary_vs_global_entropy,low_boundary_dice_le_q25,logistic_l2::sfrm_features,predefined::global_max_entropy,168,14,42,0.38095238095238093,0.0,0.38095238095238093,0.11362564322469983,0.5714285714285714,0.0096,True
monuseg,prototype,42,monuseg_proto_seed42,strong_global_predictor,low_boundary_dice_le_q25,logistic_l2::sfrm_features,logistic_l2::global_features,168,14,42,0.38095238095238093,0.2857142857142857,0.09523809523809523,-0.1111111111111111,0.25,0.6408,False
monuseg,prototype,42,monuseg_proto_seed42,supporting_lecr,high_lecr_boundary_ge_q0.75,lasso_logistic_l1::sfrm_features,predefined::global_mean_entropy,168,14,42,0.19047619047619047,0.14285714285714285,0.047619047619047616,-0.2,0.29545454545454547,0.612,False
monuseg,prototype,7,monuseg_proto_seed7,primary_vs_global_entropy,low_boundary_dice_le_q25,logistic_l2::sfrm_features,predefined::global_max_entropy,168,14,42,0.19047619047619047,0.0,0.19047619047619047,0.0,0.43243243243243246,0.2912,False
monuseg,prototype,7,monuseg_proto_seed7,strong_global_predictor,low_boundary_dice_le_q25,logistic_l2::sfrm_features,logistic_l2::global_features,168,14,42,0.19047619047619047,0.07142857142857142,0.11904761904761904,-0.08333333333333333,0.2727272727272727,0.4812,False
monuseg,prototype,7,monuseg_proto_seed7,supporting_lecr,high_lecr_boundary_ge_q0.75,lasso_logistic_l1::sfrm_features,predefined::global_mean_entropy,168,14,42,0.19047619047619047,0.16666666666666666,0.023809523809523808,-0.25,0.22448979591836735,0.892,False
monuseg,prototype,123,monuseg_proto_seed123,primary_vs_global_entropy,low_boundary_dice_le_q25,logistic_l2::sfrm_features,predefined::global_max_entropy,168,14,42,0.3333333333333333,0.0,0.3333333333333333,0.031066176470588246,0.5836206896551708,0.043225935561336803,True
monuseg,prototype,123,monuseg_proto_seed123,strong_global_predictor,low_boundary_dice_le_q25,logistic_l2::sfrm_features,logistic_l2::global_features,168,14,42,0.3333333333333333,0.30952380952380953,0.02380952380952378,-0.18181818181818177,0.17391304347826084,0.8637182309385631,False
monuseg,prototype,123,monuseg_proto_seed123,supporting_lecr,high_lecr_boundary_ge_q0.75,lasso_logistic_l1::sfrm_features,predefined::global_mean_entropy,168,14,42,0.19047619047619047,0.09523809523809523,0.09523809523809523,-0.051282051282051266,0.26666666666666666,0.246,False
consep,point,42,consep_grid_point_seed42,primary_vs_global_entropy,low_boundary_dice_le_q25,logistic_l2::sfrm_features,predefined::global_max_entropy,504,14,126,0.1984126984126984,0.2222222222222222,-0.023809523809523808,-0.20689655172413793,0.18751547029702947,0.9164,False
consep,point,42,consep_grid_point_seed42,strong_global_predictor,low_boundary_dice_le_q25,logistic_l2::sfrm_features,logistic_l2::global_features,504,14,126,0.1984126984126984,0.24603174603174602,-0.047619047619047616,-0.16666666666666663,0.044646188699360274,0.3484,False
consep,point,42,consep_grid_point_seed42,supporting_lecr,high_lecr_boundary_ge_q0.75,lasso_logistic_l1::sfrm_features,predefined::global_mean_entropy,504,14,126,0.21428571428571427,0.15873015873015872,0.05555555555555555,-0.12,0.24243506493506478,0.58,False
consep,point,7,consep_grid_point_seed7,primary_vs_global_entropy,low_boundary_dice_le_q25,logistic_l2::sfrm_features,predefined::global_max_entropy,504,14,126,0.19047619047619047,0.05555555555555555,0.1349206349206349,0.05000000000000002,0.23333333333333334,0.012,True
consep,point,7,consep_grid_point_seed7,strong_global_predictor,low_boundary_dice_le_q25,logistic_l2::sfrm_features,logistic_l2::global_features,504,14,126,0.19047619047619047,0.12698412698412698,0.06349206349206349,-0.08538224495148176,0.1748295454545454,0.3956,False
consep,point,7,consep_grid_point_seed7,supporting_lecr,high_lecr_boundary_ge_q0.75,lasso_logistic_l1::sfrm_features,predefined::global_mean_entropy,504,14,126,0.16666666666666666,0.06349206349206349,0.10317460317460317,0.0,0.2783589656920736,0.0652,False
consep,point,123,consep_grid_point_seed123,primary_vs_global_entropy,low_boundary_dice_le_q25,logistic_l2::sfrm_features,predefined::global_max_entropy,504,14,126,0.3412698412698413,0.1984126984126984,0.14285714285714288,0.015748031496062992,0.3750249999999996,0.0288,True
consep,point,123,consep_grid_point_seed123,strong_global_predictor,low_boundary_dice_le_q25,logistic_l2::sfrm_features,logistic_l2::global_features,504,14,126,0.3412698412698413,0.30158730158730157,0.03968253968253971,-0.08955223880597016,0.08333333333333331,0.5872,False
consep,point,123,consep_grid_point_seed123,supporting_lecr,high_lecr_boundary_ge_q0.75,lasso_logistic_l1::sfrm_features,predefined::global_mean_entropy,504,14,126,0.23809523809523808,0.1111111111111111,0.12698412698412698,0.0,0.3188482886216465,0.0548,False
consep,prototype,42,consep_grid_proto_seed42,primary_vs_global_entropy,low_boundary_dice_le_q25,logistic_l2::sfrm_features,predefined::global_max_entropy,504,14,126,0.31746031746031744,0.15873015873015872,0.15873015873015872,0.02836712163789644,0.30380057086125584,0.0208,True
consep,prototype,42,consep_grid_proto_seed42,strong_global_predictor,low_boundary_dice_le_q25,logistic_l2::sfrm_features,logistic_l2::global_features,504,14,126,0.31746031746031744,0.14285714285714285,0.1746031746031746,0.05217164855072461,0.31343599797622057,0.0036,True
consep,prototype,42,consep_grid_proto_seed42,supporting_lecr,high_lecr_boundary_ge_q0.75,lasso_logistic_l1::sfrm_features,predefined::global_mean_entropy,504,14,126,0.2222222222222222,0.10317460317460317,0.11904761904761904,-0.014711369622475857,0.2857142857142857,0.1052,False
consep,prototype,7,consep_grid_proto_seed7,primary_vs_global_entropy,low_boundary_dice_le_q25,logistic_l2::sfrm_features,predefined::global_max_entropy,504,14,126,0.2619047619047619,0.1746031746031746,0.08730158730158732,0.0,0.21538793103448273,0.056,False
consep,prototype,7,consep_grid_proto_seed7,strong_global_predictor,low_boundary_dice_le_q25,logistic_l2::sfrm_features,logistic_l2::global_features,504,14,126,0.2619047619047619,0.2698412698412698,-0.007936507936507908,-0.08737864077669899,0.09919421487603274,1.0,False
consep,prototype,7,consep_grid_proto_seed7,supporting_lecr,high_lecr_boundary_ge_q0.75,lasso_logistic_l1::sfrm_features,predefined::global_mean_entropy,504,14,126,0.25396825396825395,0.15873015873015872,0.09523809523809523,-0.05985507246376809,0.30952380952380953,0.2776,False
consep,prototype,123,consep_grid_proto_seed123,primary_vs_global_entropy,low_boundary_dice_le_q25,logistic_l2::sfrm_features,predefined::global_max_entropy,504,14,126,0.31746031746031744,0.1984126984126984,0.11904761904761904,0.009172226855713096,0.2608793576184879,0.0484,True
consep,prototype,123,consep_grid_proto_seed123,strong_global_predictor,low_boundary_dice_le_q25,logistic_l2::sfrm_features,logistic_l2::global_features,504,14,126,0.31746031746031744,0.30952380952380953,0.007936507936507908,-0.10448471926083863,0.27000675675675667,1.0,False
consep,prototype,123,consep_grid_proto_seed123,supporting_lecr,high_lecr_boundary_ge_q0.75,lasso_logistic_l1::sfrm_features,predefined::global_mean_entropy,504,14,126,0.15873015873015872,0.1746031746031746,-0.015873015873015872,-0.10002808988764045,0.09461068211068188,0.7872,False
